City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Yen Bai,VN,2022-11-23 22:30:16,21.7,104.8667,73.42,96,100,1.74
283,Hami,CN,2022-11-23 22:30:17,42.8,93.45,33.58,44,100,5.97
284,Bengkulu,ID,2022-11-23 22:30:17,-3.8004,102.2655,74.48,89,98,4.27
285,Lamu,KE,2022-11-23 22:30:18,-2.2717,40.902,77.9,82,84,7.58
286,Andros Town,BS,2022-11-23 22:30:18,24.7,-77.7667,80.56,73,12,8.88
287,Touros,BR,2022-11-23 22:30:19,-5.1989,-35.4608,78.78,77,10,13.24
288,Kodiak,US,2022-11-23 22:30:20,57.79,-152.4072,27.91,80,100,24.16
289,Yugorsk,RU,2022-11-23 22:28:51,61.3133,63.3319,-0.74,96,6,3.6
290,Abu Dhabi,AE,2022-11-23 22:29:52,24.4667,54.3667,77.11,80,0,2.3
291,Lorengau,PG,2022-11-23 22:30:20,-2.0226,147.2712,84.36,71,22,10.11
292,Lazaro Cardenas,MX,2022-11-23 22:30:21,17.9583,-102.2,82.18,71,0,7.72
293,Pimentel,PE,2022-11-23 22:30:21,-6.8367,-79.9342,71.89,64,0,20.71
